code,description,unit,price
MST-0074,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN40 x 250,each,3003.91
MST-0075,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN40 x 80,each,476.94
MST-0076,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN80 x 100,each,809.37
MST-0077,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN80 x 200,each,2211.00
MST-0078,FORGED FLANGE ASTM/ASME A/SA 105 ASA300 x RF x WN80 x 25,each,162.57
MST-0079,NIPPLE SS316 BSP THREADED 150LB 10 x BARREL,each,12.52
MST-0080,NIPPLE SS316 BSP THREADED 150LB 100 x BARREL,each,357.52
MST-0081,NIPPLE SS316 BSP THREADED 150LB 15 x BARREL,each,14.16
MST-0082,NIPPLE SS316 BSP THREADED 150LB 15 x HEX,each,17.65
MST-0083,NIPPLE SS316 BSP THREADED 150LB 15 x SWAGE,each,25.04
MST-0084,NIPPLE SS316 BSP THREADED 150LB 20 x BARREL,each,25.69
MST-0085,NIPPLE SS316 BSP THREADED 150LB 20 x SWAGE,each,24.41
MST-0086,NIPPLE SS316 BSP THREADED 150LB 25 x BARREL,each,35.32
MST-0087,NIPPLE SS316 BSP THREADED 150LB 25 x SWAGE,each,37.05
MST-0088,NIPPLE SS316 BSP THREADED 150LB 32 x BARREL,each,63.82
MST-0089,NIPPLE SS316 BSP THREADED 150LB 32 x SWAGE,each,55.47
MST-0090,NIPPLE SS316 BSP THREADED 150LB 40 x BARREL,each,64.70
MST-0091,NIPPLE SS316 BSP THREADED 150LB 40 x SWAGE,each,73.88
MST-0092,NIPPLE SS316 BSP THREADED 150LB 50 x BARREL,each,84.26
MST-0093,NIPPLE SS316 BSP THREADED 150LB 50 x SWAGE,each,149.08
MST-0094,NIPPLE SS316 BSP THREADED 150LB 6 x BARREL,each,10.60
MST-0095,NIPPLE SS316 BSP THREADED 150LB 65 x BARREL,each,113.20
MST-0096,NIPPLE SS316 BSP THREADED 150LB 8 x BARREL,each,10.60
MST-0097,NIPPLE SS316 BSP THREADED 150LB 80 x BARREL,each,203.74
MST-0098,NIPPLE SS316 BSP THREADED 150LB 80 x SWAGE,each,467.91
MST-0099,PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH20 6.000Mtr ASTRON APPROVED,m,1258.72
MST-0100,PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH20 6.000Mtr SASOL APPROVED,m,995.21
MST-0101,PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH40 6.000Mtr ASTRON APPROVED,m,1560.26
MST-0102,PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH40 6.000Mtr SASOL APPROVED,m,1285.59
MST-0103,PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH80 6.000Mtr ASTRON APPROVED,m,2358.07
MST-0104,PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH80 6.000Mtr SASOL APPROVED,m,1930.85
MST-0105,PIPE SEAMLESS ASTM A106 GRADE B 200 x SCH80 6.100Mtr,m,1380.74
MST-0106,PIPE SEAMLESS ASTM A106 GRADE B 250 x SCH20 6.000Mtr ASTRON APPROVED,m,1994.61
MST-0107,PIPE SEAMLESS ASTM A106 GRADE B 250 x SCH20 6.000Mtr SASOL APPROVED,m,1247.77
MST-0108,PIPE SEAMLESS ASTM A106 GRADE B 250 x SCH40 6.000Mtr ASTRON APPROVED,m,2217.58
MST-0109,PIPE SEAMLESS ASTM A106 GRADE B 250 x SCH40 6.000Mtr SASOL APPROVED,m,1801.69
MST-0110,PIPE SEAMLESS ASTM A106 GRADE B 250 x SCH60 6.000Mtr SASOL APPROVED,m,2436.08
MST-0111,PIPE SEAMLESS ASTM A106 GRADE B 250 x SCH80 6.000Mtr ASTRON APPROVED,m,3764.00
MST-0112,PIPE SEAMLESS ASTM A106 GRADE B 250 x SCH80 6.000Mtr SASOL APPROVED,m,3064.92
MST-0113,PIPE SEAMLESS ASTM A106 GRADE B 300 x SCH40 6.000Mtr ASTRON APPROVED,m,3125.96
MST-0114,PIPE SEAMLESS ASTM A106 GRADE B 300 x SCH40 6.000Mtr SASOL APPROVED,m,2399.51
MST-0115,PIPE SEAMLESS ASTM A106 GRADE B 300 x SCH80 6.000Mtr SASOL APPROVED,m,3945.36
MST-0116,PIPE SEAMLESS ASTM A106 GRADE B 300 x SCHSTD 6.000Mtr ASTRON APPROVED,m,2610.61
MST-0117,PIPE SEAMLESS ASTM A106 GRADE B 350 x SCH40 6.000Mtr ASTRON APPROVED,m,3827.72
MST-0118,PIPE SEAMLESS ASTM A106 GRADE B 500 x SCHSTD 6.000Mtr SASOL APPROVED,m,4087.63
MST-0119,PIPE SEAMLESS ASTM A106 GRADE B 500 x SCHXS 6.000Mtr SASOL APPROVED,m,5412.74
MST-0120,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 10 x SCH40 6.000Mtr SAS/AST APP,m,131.05
MST-0121,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 10 x SCH80 6.000Mtr SAS/AST APP,m,155.21
MST-0122,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 100 x SCH120 6.000Mtr ASTRON APPROVED,m,919.76
MST-0123,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 100 x SCH40 6.000Mtr SASOL APPROVED MITTAL,m,605.45
MST-0124,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 125 x SCH80 6.000Mtr ASTRON APPROVED,m,1118.08
MST-0125,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 15 x SCH160 6.000Mtr SAS/AST APP,m,203.57
MST-0126,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 15 x SCH40 6.000Mtr SAS/AST APP,m,109.07
MST-0127,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 15 x SCH80 6.000Mtr SAS/AST APP,m,149.30
MST-0128,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 150 x SCH40 6.000Mtr SASOL APPROVED MITTAL,m,1064.24
MST-0129,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 20 x SCH160 6.000Mtr SAS/AST APP,m,283.75
MST-0130,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 20 x SCH40 6.000Mtr SAS/AST APP,m,134.61
MST-0131,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 20 x SCH80 6.000Mtr SAS/AST APP,m,175.93
MST-0132,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 25 x SCH40 6.000Mtr SASOL APPROVED MITTAL,m,124.03
MST-0133,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 25 x SCH80 6.000Mtr SASOL APPROVED MITTAL,m,161.51
MST-0134,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 32 x SCH80 6.000Mtr ASTRON APPROVED,m,202.04
MST-0135,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 40 x SCH40 6.000Mtr SASOL APPROVED MITTAL,m,180.20
MST-0136,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 40 x SCH80 6.000Mtr SASOL APPROVED MITTAL,m,250.96
MST-0137,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 50 x SCH160 6.000Mtr SASOL APPROVED MITTAL,m,439.22
MST-0138,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 50 x SCH40 6.000Mtr SASOL APPROVED MITTAL,m,212.94
MST-0139,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 50 x SCH80 x 6.000Mtr SASOL APPROVED MITTAL,m,292.79
MST-0140,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 6 x SCH40 6.000Mtr SAS/AST APP,m,60.16
MST-0141,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 65 x SCH40 6.000Mtr SASOL APPROVED MITTAL,m,339.15
MST-0142,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 8 x SCH40 6.000Mtr SAS/AST APP,m,83.33
MST-0143,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 8 x SCH80 6.000Mtr SAS/AST APP,m,115.95
MST-0144,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 80 x SCH160 6.000Mtr ASTRON APPROVED,m,644.85
MST-0145,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 80 x SCH40 6.000Mtr SASOL APPROVED MITTAL,m,425.37
MST-0146,PIPE SEAMLESS ASTM A53 / ASTM A106 / ASME SA 106 GRADE B 90 x SCH80 6.000Mtr ASTRON APPROVED,m,659.65
MST-0147,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 100 x SCH40 6.000Mtr ASTRON APPROVED,m,456.90
MST-0148,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 100 x SCH80 6.000Mtr ASTRON APPROVED,m,525.08
MST-0149,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 125 x SCH40 6.000Mtr ASTRON APPROVED,m,557.62
MST-0150,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 150 x SCH40 6.000Mtr ASTRON APPROVED,m,828.84
MST-0151,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 150 x SCH80 6.000Mtr ASTRON APPROVED,m,1117.63
MST-0152,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 25 x SCH160 6.000Mtr ASTRON APPROVED,m,208.70
MST-0153,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 25 x SCH40 6.000Mtr ASTRON APPROVED,m,72.66
MST-0154,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 25 x SCH80 6.000Mtr ASTRON APPROVED,m,92.66
MST-0155,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 32 x SCH160 6.000Mtr ASTRON APPROVED,m,209.13
MST-0156,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 32 x SCH40 6.000Mtr ASTRON APPROVED,m,112.22
MST-0157,PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 32 x SCH80 6.000Mtr ASTRON APPROVED,m,195.11
