description,unit,price
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 100 x SCH40 6.000Mtr ASTRON APPROVED,m,456.90
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 100 x SCH80 6.000Mtr ASTRON APPROVED,m,525.08
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 125 x SCH40 6.000Mtr ASTRON APPROVED,m,557.62
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 150 x SCH40 6.000Mtr ASTRON APPROVED,m,828.84
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 150 x SCH80 6.000Mtr ASTRON APPROVED,m,1117.63
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 25 x SCH160 6.000Mtr ASTRON APPROVED,m,208.70
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 25 x SCH40 6.000Mtr ASTRON APPROVED,m,72.66
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 25 x SCH80 6.000Mtr ASTRON APPROVED,m,92.66
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 32 x SCH160 6.000Mtr ASTRON APPROVED,m,209.13
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 32 x SCH40 6.000Mtr ASTRON APPROVED,m,112.22
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 32 x SCH80 6.000Mtr ASTRON APPROVED,m,195.11
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 40 x SCH160 6.000Mtr ASTRON APPROVED,m,185.30
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 40 x SCH40 6.000Mtr ASTRON APPROVED,m,140.67
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 40 x SCH80 6.000Mtr ASTRON APPROVED,m,134.00
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 50 x SCH40 6.000Mtr ASTRON APPROVED,m,131.26
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 50 x SCH80 6.000Mtr ASTRON APPROVED,m,186.70
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 65 x SCH160 6.000Mtr ASTRON APPROVED,m,368.71
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 65 x SCH40 6.000Mtr ASTRON APPROVED,m,247.04
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 65 x SCH80 6.000Mtr ASTRON APPROVED,m,278.43
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 80 x SCH40 6.000Mtr ASTRON APPROVED,m,266.01
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 80 x SCH80 6.000Mtr ASTRON APPROVED,m,406.22
PIPE SEAMLESS ASTM/ASME A/SA 106 GRADE B 90 x SCH40 6.000Mtr ASTRON APPROVED,m,387.65
BUSH REDUCING SS316 BSP THREADED 150LB 10 x 8,each,10.86
BUSH REDUCING SS316 BSP THREADED 150LB 15 x 10,each,11.46
BUSH REDUCING SS316 BSP THREADED 150LB 15 x 8,each,11.90
BUSH REDUCING SS316 BSP THREADED 150LB 20 x 15,each,16.02
BUSH REDUCING SS316 BSP THREADED 150LB 20 x 8,each,24.46
BUSH REDUCING SS316 BSP THREADED 150LB 25 x 15,each,34.06
BUSH REDUCING SS316 BSP THREADED 150LB 25 x 20,each,23.83
BUSH REDUCING SS316 BSP THREADED 150LB 32 x 20,each,42.96
BUSH REDUCING SS316 BSP THREADED 150LB 32 x 25,each,40.24
BUSH REDUCING SS316 BSP THREADED 150LB 40 x 20,each,60.68
BUSH REDUCING SS316 BSP THREADED 150LB 40 x 25,each,50.08
BUSH REDUCING SS316 BSP THREADED 150LB 40 x 32,each,52.97
BUSH REDUCING SS316 BSP THREADED 150LB 50 x 25,each,119.10
BUSH REDUCING SS316 BSP THREADED 150LB 50 x 32,each,92.78
BUSH REDUCING SS316 BSP THREADED 150LB 50 x 40,each,66.21
BUSH REDUCING SS316 BSP THREADED 150LB 65 x 50,each,157.45
BUSH REDUCING SS316 BSP THREADED 150LB 8 x 6,each,8.35
BUSH REDUCING SS316 BSP THREADED 150LB 80 x 50,each,233.57
BUSH REDUCING SS316 BSP THREADED 150LB 80 x 65,each,128.98
ELBOW GRADE 304 L 100 x 90 LR x SCH10,each,268.38
ELBOW GRADE 304 L 15 x 90 LR x SCH10,each,24.77
ELBOW GRADE 304 L 150 x 90 LR x SCH10,each,902.30
ELBOW GRADE 304 L 20 x 90 LR x SCH10,each,30.65
ELBOW GRADE 304 L 20 x 90 LR x SCH40,each,39.62
ELBOW GRADE 304 L 200 x 90 LR x SCH10,each,881.47
ELBOW GRADE 304 L 25 x 90 LR x SCH10,each,29.23
ELBOW GRADE 304 L 32 x 90 LR x SCH10,each,34.60
ELBOW GRADE 304 L 40 x 90 LR x SCH10,each,56.05
ELBOW GRADE 304 L 40 x 90 LR x SCH40,each,95.66
ELBOW GRADE 304 L 50 x 90 LR x SCH10,each,76.30
ELBOW GRADE 304 L 65 x 90 LR x SCH10,each,126.05
ELBOW GRADE 304 L 80 x 90 LR x SCH10,each,169.63
ELBOW GRADE 316 L 100 x 90 LR x SCH10,each,542.00
ELBOW GRADE 316 L 100 x 90 LR x SCH40,each,1157.57
ELBOW GRADE 316 L 15 x 90 LR x SCH10,each,37.49
ELBOW GRADE 316 L 15 x 90 LR x SCH40,each,23.66
ELBOW GRADE 316 L 150 x 90 LR x SCH10,each,1344.01
ELBOW GRADE 316 L 20 x 90 LR x SCH10,each,37.77
ELBOW GRADE 316 L 200 x 90 LR x SCH10,each,2620.67
ELBOW GRADE 316 L 25 x 90 LR x SCH10,each,34.89
ELBOW GRADE 316 L 25 x 90 LR x SCH40,each,62.53
ELBOW GRADE 316 L 32 x 90 LR x SCH10,each,68.41
ELBOW GRADE 316 L 32 x 90 LR x SCH40,each,51.63
ELBOW GRADE 316 L 40 x 90 LR x SCH10,each,96.58
ELBOW GRADE 316 L 40 x 90 LR x SCH40,each,111.75
ELBOW GRADE 316 L 50 x 90 LR x SCH10,each,131.87
ELBOW GRADE 316 L 50 x 90 LR x SCH40,each,126.79
ELBOW GRADE 316 L 65 x 90 LR x SCH10,each,212.34
ELBOW GRADE 316 L 80 x 90 LR x SCH10,each,250.73
ELBOW GRADE 316 L 80 x 90 LR x SCH40,each,478.33
ELBOW SS316 BSP THREADED 150LB 10 x 90 x FF,each,20.55
ELBOW SS316 BSP THREADED 150LB 15 x 90 x FF,each,18.80
ELBOW SS316 BSP THREADED 150LB 20 x 90 x FF,each,24.65
ELBOW SS316 BSP THREADED 150LB 25 x 90 x FF,each,59.72
ELBOW SS316 BSP THREADED 150LB 32 x 90 x FF,each,67.49
ELBOW SS316 BSP THREADED 150LB 40 x 90 x FF,each,115.69
ELBOW SS316 BSP THREADED 150LB 50 x 90 x FF,each,135.54
ELBOW SS316 BSP THREADED 150LB 8 x 90 x FF,each,14.24
ELBOW SS316 BSP THREADED 150LB 80 x 90 x FF,each,413.86
NIPPLE SS316 BSP THREADED 150LB 10 x BARREL,each,12.52
NIPPLE SS316 BSP THREADED 150LB 100 x BARREL,each,357.52
NIPPLE SS316 BSP THREADED 150LB 15 x BARREL,each,14.16
NIPPLE SS316 BSP THREADED 150LB 15 x HEX,each,17.65
NIPPLE SS316 BSP THREADED 150LB 15 x SWAGE,each,25.04
